City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Beijing,372.76,452.87,543.33,599.14,669.03,733.01,814.39,981.62,1129.57,1221.6,1313.89,1400,1748.77,1459.03,1517.5
Shanghai,410.76,448.95,513.22,596.12,622.72,655.99,686,769.88,844.37,952.01,1028,1097.33,1151.37,1079.54,1149.35
Guanghzou,160.17,177.18,201.19,239.69,254.66,244.72,278.04,290.31,320.21,348.29,414.36,499.98,601.34,563.98,519.34
Suzhou,187.44,202.73,244.02,248.95,264.58,288.67,305.57,322.49,293.09,390.58,532.14,618.02,671.71,680.23,707.34
Shenzhen,147.28,172.96,144.99,189.46,256.68,207.19,210.36,275.47,293.6,362.69,382.87,386.35,499.22,426.05,419.77
Chengdu,213.60 ,297.03,291.82,299.32,350.86,394.36,471.83,533.59,576.48,631.36,578.46,671.15,684.47,714.66,703.37
Hangzhou,179.48,215.16,279.99,242.95,324.80 ,361.55,427.14,504.38,551.3,651.26,683.86,858.60 ,1010.94,732.53,743.19
Nanjing,122.16,152.93,199.82,214.23,241.61,257.13,284.71,228.18,293.97,323.96,318.11,374.38,436.51,409.46,420.58
Wuhan,101.98,135.49,158.73,196.10 ,229.69,261.64,303.37,358.92,431.51,261.62,272.00 ,621.81,319.02,236.87,235.5
Tianjing,293.48,330.19,408.43,475.80 ,492.52,541.27,551.69,527.22,519.87,590,707.30 ,731.16,705.38,710.22,779.13
